episode,reward,bins,optimal_bins,utilization,actor_loss,critic_loss,gradient_variance,gradient_norm
0,-33.08474576271186,118,101,0.8491525423728814,0.27901673316955566,15.105127334594727,0.0,24.72603988647461
1,63.95652173913044,23,20,0.8695652173913043,5.331799030303955,54.26254653930664,0.003845811588689685,50.44504928588867
2,59.33333333333334,24,20,0.8333333333333334,3.4028444290161133,97.14999389648438,0.015036540105938911,93.1041259765625
3,27.95402298850575,58,51,0.8595402298850575,-1.5307601690292358,91.38299560546875,0.015021728351712227,54.21446990966797
4,33.679012345679006,54,48,0.8767901234567901,-1.8387576341629028,60.480194091796875,0.013226884417235851,27.35833740234375
5,-32.56111111111111,120,106,0.8743888888888889,-2.7048709392547607,21.29023551940918,0.01221249159425497,29.104198455810547
6,-5.702127659574469,94,83,0.8829787234042553,-0.1765940636396408,30.618135452270508,0.011021834798157215,18.181549072265625
7,-143.2927536231884,230,200,0.867072463768116,-1.0468659400939941,8.695806503295898,0.009980294853448868,15.936358451843262
8,32.03030303030303,55,48,0.8703030303030304,2.652808666229248,71.90916442871094,0.010848836041986942,59.89376449584961
9,-141.38550724637682,230,204,0.8861449275362319,0.12628138065338135,13.196614265441895,0.009994413703680038,11.437559127807617
10,43.88888888888888,45,40,0.8888888888888888,2.916506290435791,36.941123962402344,0.009286884218454361,15.364707946777344
11,-5.702127659574462,94,83,0.8829787234042553,0.9743905067443848,17.347501754760742,0.008643078617751598,8.105269432067871
12,-5.702127659574467,94,83,0.8829787234042553,0.8173070549964905,17.149728775024414,0.008078186772763729,8.425463676452637
13,-21.78678678678678,111,100,0.8921321321321322,-0.08603405952453613,26.748233795166016,0.007642097771167755,19.36895179748535
14,-23.30088495575221,113,102,0.8969911504424779,-0.3653230667114258,30.13357925415039,0.007204666268080473,14.08531665802002
15,63.95652173913043,23,20,0.8695652173913043,4.8854756355285645,62.4348030090332,0.006838508415967226,17.33439826965332
16,46.90909090909091,44,40,0.9090909090909091,1.3900446891784668,44.45891571044922,0.0065124440006911755,16.503742218017578
17,-5.702127659574466,94,83,0.8829787234042553,-0.9785303473472595,12.072272300720215,0.006203300319612026,9.59001636505127
18,43.888888888888886,45,40,0.8888888888888888,0.538046658039093,40.896514892578125,0.0059155006892979145,13.286433219909668
19,-136.52592592592592,225,200,0.8847407407407407,-5.051110744476318,11.722535133361816,0.005678543820977211,14.724452018737793
20,-18.58409785932721,109,99,0.9041590214067279,-3.471445322036743,31.057109832763672,0.005470601841807365,19.17197608947754
21,40.95652173913044,46,40,0.8695652173913043,0.282797247171402,34.00111389160156,0.005274221766740084,14.63172721862793
22,43.888888888888886,45,40,0.8888888888888888,0.22994741797447205,55.88002014160156,0.005078764166682959,15.639348030090332
23,-3.7526881720430056,93,83,0.8924731182795699,-1.434099555015564,16.239864349365234,0.004888474941253662,8.125662803649902
24,63.95652173913044,23,20,0.8695652173913043,3.228804588317871,107.79682922363281,0.004729798529297113,21.031118392944336
25,-27.319088319088312,117,106,0.8968091168091168,-2.857304096221924,25.035642623901367,0.004578371532261372,15.184638977050781
26,40.95652173913043,46,40,0.8695652173913043,0.4422040581703186,51.440860748291016,0.004422872792929411,13.02746295928955
27,-27.51014492753623,115,101,0.8748985507246377,-2.641617774963379,26.140501022338867,0.0042842840775847435,15.032706260681152
28,-146.82905982905984,234,204,0.8717094017094017,-3.4758493900299072,17.865310668945312,0.0041573853231966496,12.406908988952637
29,40.58666666666667,50,46,0.9058666666666667,0.48846590518951416,33.54092025756836,0.004029976669698954,12.655597686767578
30,-132.83856502242153,223,202,0.9016143497757848,-2.462114095687866,8.323724746704102,0.003914412576705217,12.036667823791504
31,-34.34444444444445,120,104,0.8565555555555555,-1.3892017602920532,30.736188888549805,0.0038101347163319588,15.02055835723877
32,27.954022988505752,58,51,0.8595402298850575,-0.12775638699531555,52.13494110107422,0.0037585885729640722,27.391496658325195
33,25.422222222222217,60,52,0.8542222222222222,0.4991394281387329,33.6302375793457,0.003712183330208063,21.537281036376953
34,43.888888888888886,45,40,0.8888888888888888,1.3576579093933105,32.385047912597656,0.0036125893238931894,11.539655685424805
35,-23.759420289855065,115,106,0.9124057971014493,-1.404971718788147,32.83209228515625,0.003521474776789546,14.563676834106445
36,63.95652173913044,23,20,0.8695652173913043,4.097695350646973,74.61907196044922,0.0034554973244667053,17.34507942199707
37,46.9090909090909,44,40,0.9090909090909091,0.39916446805000305,62.65138244628906,0.003373224288225174,12.722248077392578
38,-5.702127659574465,94,83,0.8829787234042553,-2.0241150856018066,19.546215057373047,0.0032925910782068968,9.883326530456543
39,-24.561403508771928,114,103,0.8943859649122807,-3.712376594543457,19.462329864501953,0.0032164081931114197,11.919455528259277
40,-125.4074074074074,216,196,0.9059259259259259,-4.394184589385986,14.259090423583984,0.0031529641710221767,13.8925199508667
41,40.95652173913043,46,40,0.8695652173913043,-1.0791248083114624,34.87085723876953,0.0030819163657724857,13.17428970336914
42,-32.56111111111112,120,106,0.8743888888888889,-3.728398084640503,30.02286148071289,0.0030657306779175997,21.983179092407227
43,40.95652173913044,46,40,0.8695652173913043,-0.892753541469574,44.07827377319336,0.0030010200571268797,15.303451538085938
44,-3.752688172043012,93,83,0.8924731182795699,-1.0544489622116089,27.915029525756836,0.002942800521850586,5.824936389923096
45,30.793939393939382,55,48,0.8579393939393939,-1.4608341455459595,48.412960052490234,0.0028821711894124746,12.961174964904785
46,43.888888888888886,45,40,0.8888888888888888,0.02725169062614441,51.77119445800781,0.0028250713367015123,14.456957817077637
47,-34.37741046831957,121,105,0.8662258953168044,-2.0212583541870117,34.02919387817383,0.002770224353298545,11.815689086914062
48,-5.702127659574475,94,83,0.8829787234042553,-0.6097114682197571,21.945749282836914,0.0027180376928299665,8.23893928527832
49,63.95652173913043,23,20,0.8695652173913043,1.8809852600097656,77.34941864013672,0.0026834660675376654,23.700708389282227
50,-139.43085880640464,229,206,0.8956914119359535,-1.1219805479049683,15.05252742767334,0.0026413453742861748,4.946178913116455
51,-5.702127659574467,94,83,0.8829787234042553,-1.236559271812439,19.27100372314453,0.0025937047321349382,9.471240043640137
52,35.56790123456791,54,49,0.895679012345679,-2.126436233520508,66.98704528808594,0.0025623359251767397,10.742175102233887
53,-1.7826086956521734,92,83,0.9021739130434783,-1.513496994972229,31.347564697265625,0.002518813591450453,8.428365707397461
54,63.95652173913043,23,20,0.8695652173913043,0.46933266520500183,52.969600677490234,0.0024846207816153765,20.832841873168945
55,-30.826330532212882,119,106,0.8817366946778712,-3.5115394592285156,22.82157325744629,0.0024668737314641476,17.828344345092773
56,43.888888888888886,45,40,0.8888888888888888,-1.0140327215194702,35.89143753051758,0.0024290233850479126,5.7658233642578125
57,35.1025641025641,52,46,0.8710256410256411,-3.9919893741607666,70.5715560913086,0.0023905655834823847,13.29401969909668
