episode,reward,bins,optimal_bins,utilization,actor_loss,critic_loss,gradient_variance,gradient_norm
0,-30.82633053221288,119,106,0.8817366946778712,-0.8275957703590393,21.627843856811523,0.0,17.135976791381836
1,-5.702127659574474,94,83,0.8829787234042553,1.2538933753967285,25.65081787109375,0.00041542842518538237,12.153586387634277
2,31.084848484848486,55,48,0.8608484848484849,1.744874119758606,20.9906063079834,0.001197866746224463,28.974365234375
3,30.367816091954023,58,52,0.8836781609195402,0.23589351773262024,26.701278686523438,0.0011630520457401872,17.278263092041016
4,63.95652173913044,23,20,0.8695652173913043,4.354824066162109,58.85866165161133,0.0013494769809767604,24.059343338012695
5,-27.150724637681154,115,102,0.8784927536231885,-2.9016990661621094,16.917158126831055,0.0012946490896865726,15.031582832336426
6,27.76023391812866,57,49,0.8476023391812866,-0.16956686973571777,39.450904846191406,0.0015135243302211165,26.252588272094727
7,40.95652173913043,46,40,0.8695652173913043,1.5621620416641235,34.42998123168945,0.0014582643052563071,16.18470001220703
8,59.333333333333336,24,20,0.8333333333333334,4.931497573852539,56.0987434387207,0.001755805453285575,31.36941146850586
9,-32.56111111111111,120,106,0.8743888888888889,-1.8673433065414429,19.8585205078125,0.0017386097460985184,22.2263126373291
10,-30.316239316239315,117,102,0.8668376068376068,-2.333707571029663,25.493324279785156,0.0020762900821864605,37.842002868652344
11,43.888888888888886,45,40,0.8888888888888888,1.3411822319030762,55.49690246582031,0.001975184539332986,14.38881778717041
12,-142.60579710144927,230,202,0.8739420289855072,-2.6533682346343994,8.87686538696289,0.0020372860599309206,29.184324264526367
13,43.888888888888886,45,40,0.8888888888888888,1.3489173650741577,35.506526947021484,0.0019547089468687773,13.022823333740234
14,-32.38418079096046,118,102,0.8561581920903955,-1.7496399879455566,29.200490951538086,0.002046804642304778,24.525779724121094
15,63.95652173913042,23,20,0.8695652173913043,4.5504350662231445,87.29434967041016,0.002036601072177291,24.226152420043945
16,-5.702127659574471,94,83,0.8829787234042553,-0.6465849876403809,24.85763168334961,0.0019580700900405645,7.741300582885742
17,-37.74863387978143,122,104,0.8425136612021857,-3.1672325134277344,26.437360763549805,0.0019384092884138227,19.932981491088867
18,30.36904761904762,56,49,0.8636904761904762,-1.71132230758667,61.46522903442383,0.0020463464315980673,29.865066528320312
19,-25.087719298245613,114,102,0.8891228070175439,-2.6140763759613037,19.99384307861328,0.001968494849279523,14.984346389770508
20,63.95652173913043,23,20,0.8695652173913043,3.438490629196167,81.04255676269531,0.0019173313630744815,21.159278869628906
21,-7.631578947368414,95,83,0.8736842105263158,-1.0919328927993774,26.24021339416504,0.0018516271375119686,10.441876411437988
22,59.33333333333333,24,20,0.8333333333333334,2.421318292617798,63.92903137207031,0.0017928105080500245,17.696990966796875
23,-23.595870206489675,113,102,0.8940412979351032,-3.5869083404541016,32.751914978027344,0.0018403283320367336,26.456987380981445
24,63.95652173913044,23,20,0.8695652173913043,2.025169849395752,91.62071228027344,0.0018055146792903543,22.683256149291992
25,43.88888888888889,45,40,0.8888888888888888,-1.1218246221542358,49.242027282714844,0.001771936658769846,17.517086029052734
26,-147.7177304964539,235,206,0.872822695035461,-2.8933606147766113,12.848459243774414,0.0017219465225934982,10.148665428161621
27,-32.38418079096045,118,102,0.8561581920903955,-3.613478422164917,34.794002532958984,0.001676485175266862,15.711543083190918
28,63.95652173913044,23,20,0.8695652173913043,2.00370192527771,76.10053253173828,0.0016407562652602792,20.986801147460938
29,40.95652173913044,46,40,0.8695652173913043,-0.2047981321811676,52.948604583740234,0.001608811435289681,16.468185424804688
30,-139.9603524229075,227,198,0.8703964757709252,-0.04367581382393837,20.71398162841797,0.0015662035439163446,11.937532424926758
31,38.10638297872341,47,40,0.851063829787234,-1.068415880203247,50.362396240234375,0.0015268768183887005,16.844995498657227
32,-135.2929745889387,223,196,0.8770702541106129,-0.06019490212202072,20.139673233032227,0.001492441981099546,8.697434425354004
33,30.793939393939393,55,48,0.8579393939393939,-3.5422792434692383,72.0157470703125,0.0014719428727403283,21.992677688598633
34,-5.7021276595744705,94,83,0.8829787234042553,-1.2936619520187378,11.039169311523438,0.0014411666197702289,6.728940010070801
35,-138.52129221732747,227,201,0.8847870778267254,-0.12632861733436584,21.8275146484375,0.0014088139869272709,9.987081527709961
36,-5.702127659574466,94,83,0.8829787234042553,-1.1871496438980103,33.856571197509766,0.0013768180506303906,9.145941734313965
37,43.888888888888886,45,40,0.8888888888888888,-1.7581138610839844,49.69880676269531,0.0013529487187042832,19.77789878845215
38,-140.53216374269007,228,200,0.8746783625730994,0.16947080194950104,20.844079971313477,0.0013254767982289195,8.73857593536377
39,-22.213213213213212,111,99,0.8878678678678679,-2.363766670227051,24.015094757080078,0.0012973505072295666,11.134678840637207
40,43.888888888888886,45,40,0.8888888888888888,-1.7768112421035767,50.12348556518555,0.0012716804631054401,16.65934944152832
41,-144.07758620689654,232,204,0.8792241379310345,0.2679171860218048,13.84605884552002,0.0012479022843763232,8.933542251586914
