episode,reward,bins,optimal_bins,utilization,actor_loss,critic_loss,gradient_variance,gradient_norm
0,-137.0353982300885,226,202,0.889646017699115,-0.4757353663444519,6.126659393310547,0.0,14.93704891204834
1,-3.7526881720430123,93,83,0.8924731182795699,2.072234630584717,23.559885025024414,0.00031104072695598006,18.412992477416992
2,26.976608187134506,57,48,0.839766081871345,1.8332221508026123,30.302644729614258,0.0014149188064038754,32.50592041015625
3,63.95652173913043,23,20,0.8695652173913043,4.417394161224365,59.90119171142578,0.0040886555798351765,51.561180114746094
4,-7.631578947368416,95,83,0.8736842105263158,-1.371147632598877,16.243244171142578,0.0035853676963597536,10.810769081115723
5,40.95652173913042,46,40,0.8695652173913043,0.5437029600143433,52.33779525756836,0.0032766242511570454,16.974485397338867
6,55.0,25,20,0.8,2.2609617710113525,51.16056442260742,0.0031325395684689283,21.134536743164062
7,29.77380952380952,56,49,0.8577380952380952,-1.1731855869293213,87.17643737792969,0.0030543277971446514,25.113733291625977
8,43.88888888888888,45,40,0.8888888888888888,0.24343161284923553,44.64494705200195,0.002787269651889801,12.828821182250977
9,32.333333333333336,55,49,0.8733333333333333,-0.7087402939796448,41.351558685302734,0.0033108436036854982,41.55506134033203
10,-32.65555555555556,120,105,0.8734444444444445,-2.203345775604248,20.967424392700195,0.003081592032685876,15.656659126281738
11,-23.961651917404126,113,101,0.8903834808259588,-1.1234593391418457,13.926973342895508,0.0029360870830714703,18.099687576293945
12,20.82795698924731,62,52,0.8282795698924731,1.235368013381958,40.486209869384766,0.0029275270644575357,27.24453353881836
13,46.90909090909091,44,40,0.9090909090909091,2.446229934692383,27.9788818359375,0.002754813525825739,13.142003059387207
14,-21.180180180180177,111,100,0.8981981981981982,-0.07715588808059692,25.15947151184082,0.002637887140735984,17.518531799316406
15,68.9090909090909,22,20,0.9090909090909091,5.547267436981201,31.213876724243164,0.0025308949407190084,15.234890937805176
16,-1.7826086956521725,92,83,0.9021739130434783,0.06919205188751221,14.606618881225586,0.0024131452664732933,10.868535995483398
17,-5.702127659574467,94,83,0.8829787234042553,-0.32221880555152893,18.661619186401367,0.00230022962205112,8.758697509765625
18,43.888888888888886,45,40,0.8888888888888888,1.3346065282821655,30.872331619262695,0.002208227990195155,14.583372116088867
19,63.95652173913044,23,20,0.8695652173913043,4.109510898590088,92.80905151367188,0.0032426645047962666,63.67996597290039
20,-144.96852646638055,233,206,0.8803147353361945,-3.6893632411956787,13.687862396240234,0.003106813644990325,10.073636054992676
21,43.888888888888886,45,40,0.8888888888888888,0.5163448452949524,46.92962646484375,0.0029892357997596264,15.505070686340332
22,-36.08743169398906,122,105,0.8591256830601093,-2.8788414001464844,21.802946090698242,0.002874217228963971,14.913230895996094
23,63.95652173913043,23,20,0.8695652173913043,2.746967315673828,93.75099182128906,0.002885254332795739,30.491907119750977
24,63.95652173913043,23,20,0.8695652173913043,3.6861050128936768,64.7944107055664,0.0027837036177515984,17.195337295532227
25,33.42424242424242,55,49,0.8842424242424243,-1.4410035610198975,34.719764709472656,0.0027478858828544617,26.09956932067871
26,-7.631578947368423,95,83,0.8736842105263158,-1.9137645959854126,25.715145111083984,0.002654735930263996,9.678309440612793
27,59.333333333333336,24,20,0.8333333333333334,2.6458938121795654,64.45510864257812,0.002581055508926511,19.19335174560547
28,-27.32463768115942,115,101,0.8767536231884058,-3.237764596939087,22.054168701171875,0.0025128088891506195,16.578256607055664
29,-145.4549356223176,233,204,0.875450643776824,-3.9284400939941406,20.5012149810791,0.002441082149744034,12.63075065612793
30,-3.7526881720430065,93,83,0.8924731182795699,-0.9299913644790649,25.99839973449707,0.002370501635596156,8.91758918762207
31,63.95652173913043,23,20,0.8695652173913043,3.9404773712158203,95.64583587646484,0.002328993985429406,22.301799774169922
32,-23.30088495575221,113,102,0.8969911504424779,-1.279958963394165,23.239730834960938,0.002274515340104699,12.495464324951172
33,63.95652173913044,23,20,0.8695652173913043,3.4117400646209717,95.87586212158203,0.002244208939373493,24.303325653076172
34,-142.76911976911978,231,204,0.8823088023088023,-2.5943641662597656,17.990217208862305,0.002192007377743721,11.887630462646484
35,55.0,25,20,0.8,3.0123825073242188,96.34663391113281,0.002139882417395711,18.354402542114258
36,-21.499999999999993,112,102,0.905,-2.4714410305023193,32.29928207397461,0.002089884364977479,11.526947021484375
37,-29.148148148148156,117,104,0.8785185185185185,-3.0827443599700928,31.807632446289062,0.002059867139905691,19.386259078979492
38,-28.620689655172413,116,102,0.8737931034482759,-2.8858373165130615,37.404380798339844,0.00205901637673378,22.65645980834961
39,-27.869565217391305,115,101,0.871304347826087,-2.5756380558013916,33.361549377441406,0.002031677169725299,17.256975173950195
40,-3.7526881720430114,93,83,0.8924731182795699,-0.719967782497406,17.900035858154297,0.0019907813984900713,9.360268592834473
41,-3.752688172043011,93,83,0.8924731182795699,-0.24546325206756592,34.952781677246094,0.001951455371454358,8.041638374328613
42,63.95652173913043,23,20,0.8695652173913043,3.455244779586792,62.779457092285156,0.001944963587448001,23.956953048706055
43,-3.75268817204301,93,83,0.8924731182795699,-0.3961717188358307,36.669166564941406,0.00190767552703619,10.197211265563965
44,63.95652173913043,23,20,0.8695652173913043,1.5164207220077515,94.05791473388672,0.0019323921296745539,30.581872940063477
45,-32.56111111111111,120,106,0.8743888888888889,-3.0478193759918213,29.657312393188477,0.0019013539422303438,10.502485275268555
46,33.67901234567901,54,48,0.8767901234567901,-3.776641607284546,52.01757049560547,0.0018728984287008643,20.20472526550293
47,-3.7526881720430096,93,83,0.8924731182795699,-1.9975168704986572,32.74559020996094,0.0018432658398523927,9.170318603515625
48,-146.82905982905984,234,204,0.8717094017094017,-2.5395960807800293,14.295293807983398,0.001821422833018005,9.43940544128418
49,68.9090909090909,22,20,0.9090909090909091,0.22744929790496826,88.81683349609375,0.0018034966196864843,23.377538681030273
50,-22.213213213213216,111,99,0.8878678678678679,-2.454307794570923,39.012550354003906,0.0017772229621186852,8.295170783996582
51,63.95652173913044,23,20,0.8695652173913043,1.2639788389205933,119.22589874267578,0.0017509269528090954,13.176045417785645
52,68.9090909090909,22,20,0.9090909090909091,1.58700692653656,125.95869445800781,0.0017389472341164947,16.329450607299805
53,33.67901234567901,54,48,0.8767901234567901,-2.6373329162597656,85.3072280883789,0.0017146826721727848,7.116418361663818
54,30.540229885057478,58,52,0.8854022988505748,-3.321011543273926,88.74260711669922,0.0017265736823901534,20.99160385131836
55,-5.702127659574464,94,83,0.8829787234042553,-1.186972737312317,26.193071365356445,0.0017010500887408853,7.692176818847656
56,38.76100628930817,53,49,0.9176100628930818,-3.5103628635406494,91.44120025634766,0.001682343310676515,18.66139793395996
57,-139.92576419213975,229,204,0.8907423580786026,0.30869626998901367,19.67254066467285,0.001665807794779539,7.040778636932373
58,68.9090909090909,22,20,0.9090909090909091,-0.4114822745323181,65.76564025878906,0.0016496710013598204,21.782007217407227
59,32.842424242424244,55,49,0.8784242424242424,-2.401073932647705,50.82758331298828,0.0016953321173787117,25.178258895874023
60,-129.64840182648402,219,196,0.8935159817351598,0.18597784638404846,18.978612899780273,0.0016771904192864895,4.001636981964111
61,63.95652173913044,23,20,0.8695652173913043,-1.5904701948165894,96.97899627685547,0.0016602908726781607,20.932823181152344
62,-142.20634920634922,231,206,0.8879365079365079,-0.36210548877716064,18.91364288330078,0.0016435537254437804,5.582414150238037
63,-1.7826086956521712,92,83,0.9021739130434783,-1.8818821907043457,27.80596351623535,0.0016212972113862634,7.954112529754639
64,63.95652173913043,23,20,0.8695652173913043,-0.7952408194541931,54.61109924316406,0.001602893229573965,9.652168273925781
65,-130.04675716440423,221,202,0.9095324283559578,0.4456648826599121,21.290283203125,0.0015872172079980373,5.638532638549805
66,36.06172839506172,54,49,0.9006172839506172,-3.581815242767334,64.77214050292969,0.0015671319561079144,10.367194175720215
67,-126.51987767584097,218,200,0.9148012232415902,0.9199351072311401,20.46708106994629,0.001553950598463416,4.62697172164917
68,37.810457516339866,51,46,0.8881045751633987,-2.272146701812744,56.7646369934082,0.001549417502246797,9.099215507507324
69,68.9090909090909,22,20,0.9090909090909091,0.28676313161849976,97.36713409423828,0.0015319930389523506,9.662505149841309
70,-132.8624813153961,223,202,0.9013751868460389,-0.006234802771359682,17.503141403198242,0.0015186516102403402,4.417705535888672
71,35.46913580246913,54,49,0.8946913580246914,-3.4298319816589355,58.366844177246094,0.0015045005129650235,3.3189029693603516
72,-131.52852852852854,222,201,0.9047147147147148,-0.9832394123077393,14.846268653869629,0.0014934585196897388,4.959080696105957
73,-23.83625730994152,114,104,0.9016374269005848,-3.095669984817505,34.89512252807617,0.0014815633185207844,8.6265230178833
74,-1.7826086956521685,92,83,0.9021739130434783,-1.0194004774093628,23.778867721557617,0.001466877292841673,4.999284744262695
75,35.64242424242425,55,51,0.9064242424242425,-1.344212532043457,64.05223083496094,0.00145543715916574,3.9798953533172607
76,43.88888888888888,45,40,0.8888888888888888,-0.8123928904533386,52.8621940612793,0.0014384667156264186,11.9439697265625
77,-19.63063063063063,111,102,0.9136936936936937,-0.9548340439796448,25.599388122558594,0.0014275831636041403,2.4579904079437256
78,43.888888888888886,45,40,0.8888888888888888,-0.8618136644363403,33.97736740112305,0.001411605509929359,7.459560394287109
79,-118.80188679245282,212,198,0.9319811320754717,0.12959085404872894,16.04415512084961,0.0014014155603945255,4.589440822601318
80,-129.6066066066066,222,206,0.923933933933934,-0.8905512690544128,10.30473518371582,0.0013907616958022118,2.5849356651306152
81,68.9090909090909,22,20,0.9090909090909091,-1.7613515853881836,72.95767211914062,0.0013751316582784057,9.92363166809082
82,38.257861635220124,53,49,0.9125786163522013,-4.0315375328063965,56.77064895629883,0.0013759677531197667,12.63046932220459
83,-131.02092675635276,223,206,0.9197907324364724,-0.35354170203208923,14.144248962402344,0.0013660071417689323,3.3696646690368652
84,35.64242424242425,55,51,0.9064242424242425,-1.6078860759735107,70.59495544433594,0.0013714841334149241,15.724626541137695
85,-18.58409785932721,109,99,0.9041590214067279,0.5440769791603088,15.949613571166992,0.0013624898856505752,5.441028594970703
86,-3.752688172043016,93,83,0.8924731182795699,0.21093977987766266,19.417545318603516,0.001350458012893796,3.8916001319885254
87,43.888888888888886,45,40,0.8888888888888888,0.1557186245918274,57.16109085083008,0.0013780741719529033,24.7023983001709
88,42.294117647058826,51,48,0.9329411764705883,-1.7723333835601807,60.81604766845703,0.0013783392496407032,13.89691162109375
