episode,reward,bins,optimal_bins,utilization,actor_loss,critic_loss,gradient_variance,gradient_norm
0,-7.631578947368411,95,83,0.8736842105263158,-42.06752857912975,57.655246543118274,0.0,16.792621612548828
1,27.853801169590653,57,49,0.8485380116959065,377.3446976661682,6361.884460449219,0.29035988450050354,433.6260986328125
2,-5.702127659574472,94,83,0.8829787234042553,-2.706855724464698,0.3328747932174889,0.25791266560554504,0.7534669637680054
3,-5.702127659574472,94,83,0.8829787234042553,-104.53037364607356,326.705256205486,0.21786795556545258,24.567237854003906
4,-35.8111111111111,120,102,0.8418888888888889,-314.00035289001465,3328.96416015625,0.19493341445922852,112.75017547607422
5,63.95652173913044,23,20,0.8695652173913043,253.83758722941081,3277.740242513021,0.18636268377304077,158.38858032226562
6,-146.04022988505747,232,200,0.8595977011494252,-931.891423828125,22442.887734375,0.24068981409072876,304.7568054199219
7,-146.82905982905982,234,204,0.8717094017094017,-814.990296295166,18091.53101953125,0.2818937301635742,328.9300537109375
8,40.95652173913044,46,40,0.8695652173913043,298.14022703170775,3498.3165588378906,0.26855191588401794,159.88510131835938
9,-27.51014492753623,115,101,0.8748985507246377,95.27259155654907,285.6524774780273,0.24577468633651733,48.4930534362793
10,-35.03333333333333,120,103,0.8496666666666667,105.55475460624695,354.21314041137697,0.22708627581596375,40.6504020690918
11,-30.632183908045988,116,100,0.8536781609195402,157.8811074180603,806.9879523925781,0.2112780064344406,36.71828079223633
12,38.1063829787234,47,40,0.851063829787234,383.74536488850913,5749.879870605469,0.20906513929367065,152.04774475097656
13,25.735632183908052,58,49,0.8373563218390805,386.1168125152588,6113.449837239584,0.21107417345046997,198.0301971435547
14,35.33333333333334,48,40,0.8333333333333334,325.0427397410075,3989.9919006347654,0.20690934360027313,152.64727783203125
15,-9.541666666666657,96,83,0.8645833333333334,73.75612514756291,164.6228296670569,0.19502565264701843,13.597471237182617
16,-41.10752688172043,124,104,0.8289247311827957,-88.6848767967224,273.211880859375,0.18467769026756287,32.40230178833008
17,40.95652173913044,46,40,0.8695652173913043,259.2403204758962,2601.2110290527344,0.1762293130159378,67.21916961669922
18,23.316384180790962,59,49,0.8231638418079096,150.77040745417278,996.7951512654622,0.1697971522808075,85.45584869384766
19,-37.74863387978142,122,104,0.8425136612021857,-188.18744141387938,1188.6135068359374,0.16460858285427094,102.27682495117188
20,46.90909090909091,44,40,0.9090909090909091,216.21299629211427,1896.691337076823,0.15844248235225677,61.617523193359375
21,-143.44927536231882,230,200,0.8655072463768116,-891.8204573211669,20095.7405703125,0.17198750376701355,271.79010009765625
