episode,reward,bins,optimal_bins,utilization,actor_loss,critic_loss,gradient_variance,gradient_norm
0,28.54761904761905,56,48,0.8454761904761905,206.0903924147288,2000.9760782877604,0.0,175.93617248535156
1,59.33333333333334,24,20,0.8333333333333334,143.34165992736817,1274.0865071614583,0.05608275160193443,52.43741989135742
2,30.845238095238102,56,49,0.868452380952381,-201.59414211908975,1902.4740580240884,0.06611748784780502,116.53252410888672
3,31.084848484848493,55,48,0.8608484848484849,-169.44484480222067,1232.1670756022136,0.08569647371768951,167.4180145263672
4,-5.702127659574472,94,83,0.8829787234042553,-201.06645023391908,1292.4324274637613,0.07649499922990799,62.755672454833984
5,-25.78466076696165,113,99,0.8721533923303835,-260.31116932678225,2345.7138271484373,0.07489347457885742,96.5265884399414
6,59.33333333333334,24,20,0.8333333333333334,238.80029017130533,3449.6878865559897,0.06970235705375671,64.3908462524414
7,-37.693766937669366,123,106,0.8530623306233063,-170.73507807159424,1060.8655510253907,0.06362584978342056,47.37070083618164
8,-7.631578947368411,95,83,0.8736842105263158,11.5709887695121,4.482734469943736,0.05753422901034355,3.04752779006958
9,-23.458333333333343,112,100,0.8854166666666666,1.9073716069459916,3.5415831023214994,0.05246790871024132,4.870691299438477
10,38.1063829787234,47,40,0.851063829787234,266.0460766792297,3197.321706136068,0.05132153630256653,82.91759490966797
11,25.49717514124295,59,51,0.8449717514124294,234.409593296051,2593.7756815592447,0.05318240076303482,109.83216857910156
12,-35.99453551912569,122,106,0.8600546448087432,-94.2008105621338,327.3229340820312,0.05015893653035164,34.59288787841797
13,63.95652173913044,23,20,0.8695652173913043,289.9084831237793,5020.488053385417,0.05454857647418976,135.5
14,26.06432748538012,57,48,0.8306432748538012,127.73877294858296,757.2402893066406,0.056986697018146515,118.10294342041016
15,-137.18666666666667,225,198,0.8781333333333333,-861.9617045288086,20021.39933984375,0.08387961238622665,291.3765563964844
16,-28.10344827586208,116,103,0.8789655172413793,-168.95973606109618,995.0919279785156,0.07950431108474731,27.155033111572266
17,-5.702127659574472,94,83,0.8829787234042553,-17.778922278239545,12.097158776708396,0.07536028325557709,2.223153591156006
18,40.95652173913044,46,40,0.8695652173913043,225.28892736434938,2093.5863647460938,0.07178940623998642,31.836811065673828
19,-26.54385964912281,114,100,0.874561403508772,-72.2274669265747,202.95394247436522,0.06865286082029343,34.72365951538086
20,-3.7526881720430083,93,83,0.8924731182795699,33.43934049951025,36.904415544257105,0.06562665104866028,10.294791221618652
21,-28.88985507246376,115,100,0.8611014492753624,-58.61381264495849,138.1311558227539,0.06292689591646194,28.205995559692383
22,63.95652173913044,23,20,0.8695652173913043,298.1819574991862,5261.490771484375,0.06274247914552689,94.44048309326172
23,31.084848484848493,55,48,0.8608484848484849,208.73285578091938,1947.841470336914,0.06083083525300026,45.26705551147461
24,30.461988304093566,57,51,0.8746198830409356,172.64616912206014,1420.6239288330078,0.05913319066166878,54.93495178222656
25,23.185792349726768,61,52,0.8418579234972677,103.75579601923624,554.1784210205078,0.05824819207191467,76.59420013427734
26,43.888888888888886,45,40,0.8888888888888888,197.85114787419636,1451.4096649169921,0.05650278553366661,34.312599182128906
27,40.95652173913044,46,40,0.8695652173913043,138.08045924504597,846.3188608805339,0.054827090352773666,31.700679779052734
28,-148.2,235,204,0.868,-925.5566925506591,24261.3504375,0.06500798463821411,241.543701171875
29,38.1063829787234,47,40,0.851063829787234,97.71140019098918,415.32801513671876,0.06292348355054855,13.272446632385254
30,-139.81578947368422,228,202,0.8818421052631579,-854.5858844451905,20373.225703125,0.06811539828777313,188.69931030273438
31,-41.14933333333333,125,105,0.8385066666666666,-255.74449124145508,2443.1054755859377,0.06649763137102127,49.07720184326172
32,59.33333333333334,24,20,0.8333333333333334,213.73220240275066,2517.8771769205728,0.06463609635829926,23.827333450317383
