episode,reward,bins,optimal_bins,utilization,actor_loss,critic_loss,gradient_variance,gradient_norm
0,35.33333333333334,48,40,0.8333333333333334,157.8171778678894,1035.571768697103,0.0,55.07521438598633
1,40.95652173913044,46,40,0.8695652173913043,-45.57688848177592,75.96378428141276,0.005735849495977163,25.68931007385254
2,-37.693766937669366,123,106,0.8530623306233063,-648.9261029663086,13753.37230078125,0.14111554622650146,312.0351867675781
3,-156.43015214384508,241,204,0.8456984785615491,-1217.582068572998,37946.1844140625,0.3488374650478363,415.43701171875
4,-35.03333333333333,120,103,0.8496666666666667,-191.3230780944824,1244.3512861328124,0.30200308561325073,101.22814178466797
5,-141.29403202328967,229,201,0.8770596797671033,-705.8503859558106,13501.395900390626,0.30070996284484863,222.34857177734375
6,-39.38172043010752,124,106,0.8461827956989247,30.604623565882445,40.51837106692791,0.2634027302265167,20.58445930480957
7,22.93442622950819,61,52,0.839344262295082,379.8049916267395,6513.4713948567705,0.29472389817237854,303.7572937011719
8,-5.702127659574472,94,83,0.8829787234042553,188.67871145838237,1042.7484640711282,0.27147841453552246,88.32810974121094
9,38.1063829787234,47,40,0.851063829787234,389.27320731480916,5526.518530273437,0.2678426504135132,207.6386260986328
10,38.1063829787234,47,40,0.851063829787234,358.7535349210103,5065.310363769531,0.25586366653442383,136.6796875
11,40.95652173913044,46,40,0.8695652173913043,350.99135802586875,4758.309643554688,0.23914834856987,81.21028900146484
12,59.33333333333334,24,20,0.8333333333333334,369.10522104899087,6607.154020182292,0.24934867024421692,250.90695190429688
13,40.95652173913044,46,40,0.8695652173913043,278.92039489746094,3208.6374979654947,0.23578058183193207,88.3493423461914
14,22.93442622950819,61,52,0.839344262295082,181.34182090759276,1440.6871053059897,0.2241765856742859,91.2944564819336
15,29.77380952380952,56,49,0.8577380952380952,179.5960777282715,1329.0432108561197,0.21527832746505737,104.36389923095703
16,38.1063829787234,47,40,0.851063829787234,190.7637329419454,1349.8618631998697,0.20485885441303253,67.17835235595703
17,-136.64285714285714,224,196,0.8735714285714286,-898.5659296264648,20709.08223046875,0.2123788446187973,239.12034606933594
18,-38.42622950819673,122,103,0.8357377049180328,-262.1610605926514,2420.092119140625,0.2223387062549591,257.55029296875
19,32.03030303030303,55,48,0.8703030303030304,101.23576942284902,451.93060811360675,0.21277084946632385,57.24531173706055
20,40.95652173913044,46,40,0.8695652173913043,172.8334799448649,1146.3342447916666,0.20485849678516388,79.92398071289062
21,21.248587570621467,59,48,0.8024858757062147,48.27607245047887,97.79819876352946,0.19661030173301697,54.32107162475586
22,40.95652173913044,46,40,0.8695652173913043,162.79279642105104,1067.1789154052735,0.18875569105148315,33.815956115722656
23,-33.08474576271186,118,101,0.8491525423728814,-247.27045091247558,2006.94125,0.18495383858680725,123.38076782226562
24,55.0,25,20,0.8,191.51262137095134,2003.3371215820312,0.17878103256225586,64.58904266357422
25,63.95652173913044,23,20,0.8695652173913043,235.14071655273438,2783.6430867513022,0.1818978190422058,208.82138061523438
26,-151.0028129395218,237,204,0.859971870604782,-990.5237241210938,25519.9754140625,0.20231659710407257,353.7973937988281
27,22.88700564971751,59,49,0.8188700564971751,32.923699748516086,46.68813411394755,0.19546732306480408,31.00257682800293
28,55.0,25,20,0.8,197.96105098724365,1996.5015197753905,0.18900039792060852,21.787151336669922
29,32.45911949685535,53,46,0.8545911949685535,89.26333295504251,350.5156969706217,0.18419590592384338,76.18048095703125
30,-30.82336182336182,117,101,0.8617663817663818,-220.73932203674318,1590.7662290039063,0.17917092144489288,67.97488403320312
31,59.33333333333334,24,20,0.8333333333333334,205.1580551147461,2471.858194986979,0.17427833378314972,45.03182601928711
32,35.33333333333334,48,40,0.8333333333333334,135.08625570933023,714.9675384521485,0.1700565665960312,72.10845947265625
33,-31.786324786324784,117,100,0.8521367521367521,-218.6142377243042,1526.1868989257812,0.1673499494791031,113.07131958007812
34,-5.702127659574472,94,83,0.8829787234042553,-60.94363249353616,115.69518221813033,0.16274592280387878,10.14624309539795
35,-9.541666666666657,96,83,0.8645833333333334,-79.00449668930237,188.79688590788936,0.15843971073627472,21.49100685119629
36,-140.53216374269005,228,200,0.8746783625730994,-848.7736634063721,18314.04517578125,0.16249024868011475,222.64028930664062
37,-32.361823361823355,117,100,0.8463817663817664,-169.1727525024414,951.4942658691406,0.15977689623832703,99.62451171875
38,-31.786324786324784,117,100,0.8521367521367521,-139.2881128692627,637.5171171875,0.15610292553901672,45.212066650390625
39,38.1063829787234,47,40,0.851063829787234,215.9706707795461,1758.0097788492837,0.1524313986301422,26.999935150146484
40,26.06432748538012,57,48,0.8306432748538012,169.51286191940306,1220.6782012939452,0.1495930403470993,70.61544799804688
41,59.33333333333334,24,20,0.8333333333333334,265.0325884501139,4139.1986083984375,0.14690826833248138,68.33253479003906
42,20.726775956284143,61,51,0.8172677595628415,156.31599725087483,1003.7968114217123,0.14470085501670837,92.88996124267578
43,-33.08474576271186,118,101,0.8491525423728814,-88.34003163528442,256.86999084472654,0.14166255295276642,33.78800964355469
44,55.0,25,20,0.8,249.8503101348877,3374.8706217447916,0.1389118880033493,48.45969009399414
45,59.33333333333334,24,20,0.8333333333333334,284.3623486836751,3677.843546549479,0.14437082409858704,254.8990936279297
46,43.888888888888886,45,40,0.8888888888888888,228.178400071462,1995.5761739095053,0.14229831099510193,86.6242446899414
47,-28.620689655172413,116,102,0.8737931034482759,-115.42688402557373,457.7155167236328,0.13995809853076935,67.41014099121094
48,43.888888888888886,45,40,0.8888888888888888,192.98232412338257,1538.3068450927735,0.13729341328144073,26.8758487701416
49,-32.38418079096046,118,102,0.8561581920903955,-178.49507623291015,1052.6676496582031,0.13499292731285095,54.172908782958984
50,-32.10169491525424,118,102,0.8589830508474576,-189.11295677185058,1162.7924438476562,0.1326741725206375,45.889564514160156
51,25.39080459770115,58,49,0.8339080459770115,58.55999426047007,161.84946568806967,0.13024462759494781,21.75640106201172
