episode,reward,bins,optimal_bins,utilization,actor_loss,critic_loss,gradient_variance,gradient_norm
0,40.95652173913044,46,40,0.8695652173913043,157.86342074076336,1113.0085327148438,0.0,71.76133728027344
1,29.476190476190467,56,48,0.8547619047619047,-285.4787768046061,3982.0221354166665,0.06583797931671143,186.89427185058594
2,-139.30543318649046,227,200,0.8769456681350954,-1085.2519479827881,33363.2274375,0.22156018018722534,359.5921936035156
3,-25.78466076696165,113,99,0.8721533923303835,-124.10729243469238,605.7912857666016,0.20035244524478912,92.40789794921875
4,43.888888888888886,45,40,0.8888888888888888,301.8690027236938,4119.11181233724,0.21572352945804596,207.46270751953125
5,-27.324637681159416,115,101,0.8767536231884058,51.1736605463028,91.35950888824463,0.18780142068862915,29.871397018432617
6,59.33333333333334,24,20,0.8333333333333334,323.8802775065104,6668.094612630209,0.32822197675704956,437.7095642089844
7,-145.45493562231758,233,204,0.875450643776824,-651.4344962463379,12560.133068359375,0.3903704285621643,377.9072570800781
8,59.33333333333334,24,20,0.8333333333333334,339.42517547607423,6628.895450846354,0.4129173159599304,319.22039794921875
9,25.333333333333343,60,52,0.8533333333333334,269.1245046933492,3701.097802734375,0.44001224637031555,338.91619873046875
10,55.0,25,20,0.8,315.9990130106608,5545.324031575521,0.44199952483177185,274.4953918457031
11,43.888888888888886,45,40,0.8888888888888888,288.12497460047405,3635.7433349609373,0.4302447438240051,212.69981384277344
12,63.95652173913044,23,20,0.8695652173913043,317.8172794342041,5806.017228190104,0.40841779112815857,141.97216796875
13,43.888888888888886,45,40,0.8888888888888888,243.68336346944173,2808.2253479003907,0.39561477303504944,186.76809692382812
14,-141.29403202328967,229,201,0.8770596797671033,-727.9515367431641,15742.826150390625,0.4025137722492218,282.3619689941406
15,40.95652173913044,46,40,0.8695652173913043,223.7261989593506,2047.5249460856119,0.4159422218799591,320.361083984375
16,-145.35919540229884,232,202,0.8664080459770115,-740.0240390014649,16241.681158203124,0.4182862341403961,278.0832824707031
17,55.0,25,20,0.8,231.94554023742677,3539.157995605469,0.3984878659248352,81.73480987548828
18,23.316384180790962,59,49,0.8231638418079096,152.66173057556153,1201.4472147623699,0.3833697438240051,124.42670440673828
19,32.03030303030303,55,48,0.8703030303030304,195.82123630841573,1935.3146474202474,0.3753567337989807,184.34437561035156
20,68.9090909090909,22,20,0.9090909090909091,309.3290631612142,5440.070296223958,0.36246731877326965,126.29676818847656
21,-5.702127659574472,94,83,0.8829787234042553,23.988625781124377,19.046630505098396,0.346611887216568,7.944816589355469
22,-136.52592592592595,225,200,0.8847407407407407,-583.776716583252,10193.242724609376,0.3390014171600342,165.42152404785156
23,-9.541666666666657,96,83,0.8645833333333334,8.487770358519441,2.8742006153517585,0.32534053921699524,3.5959136486053467
24,38.1063829787234,47,40,0.851063829787234,203.89241134325664,1904.7016469319663,0.31308263540267944,38.487979888916016
25,40.95652173913044,46,40,0.8695652173913043,213.11616271336874,2142.592976888021,0.3021056652069092,55.150508880615234
26,63.95652173913044,23,20,0.8695652173913043,246.84938532511393,4047.8965372721354,0.29289376735687256,86.22418212890625
27,-139.81578947368422,228,202,0.8818421052631579,-507.7937692565918,8084.679327148438,0.2881184220314026,159.2090606689453
28,31.509090909090915,55,48,0.8650909090909091,140.0126805146535,1073.6878234863282,0.27979326248168945,83.05829620361328
29,-36.087431693989075,122,105,0.8591256830601093,-43.85872580718994,94.70003442001342,0.27081963419914246,21.314634323120117
30,-25.78466076696165,113,99,0.8721533923303835,1.2227201974093913,8.147911038249381,0.26230588555336,4.242006778717041
31,-3.7526881720430083,93,83,0.8924731182795699,50.320831685659876,84.01538701804287,0.2543407082557678,15.363443374633789
32,-30.367521367521363,117,102,0.8663247863247864,-8.220999142348766,13.755160434453282,0.2468346804380417,9.956406593322754
33,40.95652173913044,46,40,0.8695652173913043,169.5144586086273,1322.0115661621094,0.24126598238945007,92.83960723876953
34,40.95652173913044,46,40,0.8695652173913043,156.2722538948059,1135.8976918538413,0.2368098944425583,115.47823333740234
35,68.9090909090909,22,20,0.9090909090909091,210.81163590749105,2858.8304768880207,0.2406255602836609,249.57449340820312
36,37.810457516339866,51,46,0.8881045751633987,60.39212800661723,183.54161491394044,0.23440754413604736,29.785863876342773
37,-5.702127659574472,94,83,0.8829787234042553,-64.62183574308833,141.08842796111202,0.22841322422027588,12.69920539855957
38,40.95652173913044,46,40,0.8695652173913043,62.999720033009844,167.85602353413898,0.22290202975273132,42.012081146240234
39,-7.631578947368411,95,83,0.8736842105263158,-135.88167685389996,613.8073772139338,0.21776285767555237,45.65882873535156
40,-5.702127659574472,94,83,0.8829787234042553,-142.43034368920996,657.4522859504424,0.212711364030838,32.339481353759766
41,38.1063829787234,47,40,0.851063829787234,2.4332988166560727,1.7303673785928064,0.20774349570274353,2.1931262016296387
42,34.641975308641975,54,48,0.8864197530864197,-92.19434679349264,411.7259864807129,0.2031739503145218,36.45565414428711
43,-25.241887905604727,113,100,0.8775811209439528,-212.50025675964355,1692.7321762695312,0.19931814074516296,70.1693344116211
44,-28.620689655172413,116,102,0.8737931034482759,-157.06089826202393,947.7886650390625,0.196277916431427,99.53551483154297
45,-30.31623931623932,117,102,0.8668376068376068,-74.51378327178955,247.3309700012207,0.1922263503074646,32.81813430786133
46,-22.21321321321321,111,99,0.8878678678678679,51.604139596939085,104.87588140487671,0.18824905157089233,17.85467529296875
47,33.67901234567901,54,48,0.8767901234567901,166.9969262599945,1407.0108917236328,0.18772827088832855,162.30352783203125
48,25.58888888888889,60,52,0.8558888888888889,154.1334808508555,1371.972447713216,0.1860692948102951,132.27566528320312
49,-34.28374655647383,121,106,0.8671625344352617,84.8477061548233,264.6202125778198,0.18268734216690063,47.32053756713867
50,-25.087719298245617,114,102,0.8891228070175439,96.93729153251648,347.2264040222168,0.17940837144851685,46.47152328491211
51,40.95652173913044,46,40,0.8695652173913043,147.63461087544758,1026.863540649414,0.17608164250850677,28.33578109741211
52,-32.624649859943986,119,104,0.8637535014005602,-25.20166672515869,41.755400747418406,0.17286697030067444,21.25452995300293
53,30.36904761904762,56,49,0.8636904761904762,15.040001253286997,20.451282385985056,0.16971851885318756,6.1653008460998535
54,-34.10364145658262,119,102,0.8489635854341737,-128.21813359832763,617.2007902832031,0.1672646850347519,72.52821350097656
55,-25.74269005847954,114,101,0.8825730994152047,-94.96949171447754,350.2374529418945,0.16450591385364532,42.129798889160156
56,40.95652173913044,46,40,0.8695652173913043,79.61046016216278,276.66778666178385,0.16169913113117218,18.450397491455078
57,29.476190476190467,56,48,0.8547619047619047,-28.29194256067276,37.26397798515391,0.15895149111747742,4.188547611236572
58,59.33333333333334,24,20,0.8333333333333334,118.04623031616211,879.8731282552084,0.15651892125606537,48.85934829711914
59,-25.555555555555557,114,101,0.8844444444444445,-99.2537953338623,370.07307543945313,0.15461291372776031,81.65825653076172
