episode,reward,bins,optimal_bins,utilization,actor_loss,critic_loss,gradient_variance,gradient_norm
0,35.33333333333334,48,40,0.8333333333333334,0.2085422570235096,9.700318102820118,0.0,6.8298540115356445
1,35.33333333333334,48,40,0.8333333333333334,-2.0254425402818015,0.29312839527132084,7.133653707569465e-05,0.8403550982475281
2,-41.05866666666667,125,106,0.8394133333333333,-1.3970563211260014,19.031106884090676,6.810380727984011e-05,1.5421677827835083
3,-152.3641456582633,238,204,0.856358543417367,0.577033118151121,47.00033460548834,6.20419523329474e-05,1.6500447988510132
4,-33.31932773109243,119,103,0.8568067226890757,1.2540988153959916,1.1985915503718445,5.375137698138133e-05,0.9408543705940247
5,-146.7997138769671,233,201,0.862002861230329,0.9850639586493344,35.30211471208873,4.719372736872174e-05,0.7673011422157288
6,-37.693766937669366,123,106,0.8530623306233063,0.7962417043745518,1.8813843245681312,4.240158523316495e-05,0.979219377040863
7,18.269841269841265,63,52,0.8126984126984127,0.36141989605675917,7.601129181517138,3.8137361116241664e-05,0.7883127331733704
8,-9.541666666666657,96,83,0.8645833333333334,-0.3271164165327036,0.34962404723308976,3.549343455233611e-05,1.4266157150268555
9,35.33333333333334,48,40,0.8333333333333334,-0.3562286113301525,6.646200706884397,3.3025517041096464e-05,1.2385858297348022
10,35.33333333333334,48,40,0.8333333333333334,-0.7362167718213186,3.705834858764331,3.041504169232212e-05,0.3673200309276581
11,40.95652173913044,46,40,0.8695652173913043,-1.3084085551163298,3.632624717204486,2.828014658007305e-05,0.7795799970626831
12,55.0,25,20,0.8,-0.8528624589089304,15.608999692021825,8.816098124952987e-05,11.894201278686523
13,38.1063829787234,47,40,0.851063829787234,-1.8623287491500378,0.587460497081338,8.248259837273508e-05,0.44806408882141113
14,20.58064516129032,62,52,0.8258064516129032,-2.6927042761817575,5.657310717935616,7.813062256900594e-05,1.3894292116165161
15,29.77380952380952,56,49,0.8577380952380952,-2.073118012631312,0.34032637323798554,7.516712503274903e-05,1.9764361381530762
16,38.1063829787234,47,40,0.851063829787234,-0.501887018654088,5.943816785970782,7.121075759641826e-05,0.9552667140960693
17,-131.05454545454546,220,196,0.8894545454545455,-1.119144839164619,31.97521888504431,6.759276584489271e-05,0.6338135004043579
18,-43.432,125,103,0.81568,0.4181246298849146,3.3502487275755675,6.446251791203395e-05,0.8621752262115479
19,26.976608187134502,57,48,0.839766081871345,1.5234783026389778,25.453234389914282,6.149051478132606e-05,0.47277045249938965
20,43.888888888888886,45,40,0.8888888888888888,1.5046573997533415,33.30306744321325,5.9316273109288886e-05,1.325355052947998
21,28.54761904761905,56,48,0.8454761904761905,1.3609397848995286,22.728717079487797,5.692468039342202e-05,0.8944347500801086
22,40.95652173913044,46,40,0.8695652173913043,1.1105378765278147,19.42087559582935,5.477349259308539e-05,0.8154488801956177
23,-38.190082644628106,121,101,0.828099173553719,-0.15719200991588878,5.983737488625293,5.262868944555521e-05,0.36331498622894287
24,55.0,25,20,0.8,0.5919590450939722,37.44701701373046,5.2141058404231444e-05,2.631542444229126
25,63.95652173913044,23,20,0.8695652173913043,0.13968090488924645,37.82006567338211,5.888704617973417e-05,6.002942085266113
26,-145.52646638054364,233,204,0.8747353361945637,-2.5327094216481782,57.42343926391644,5.6995027989614755e-05,1.0866405963897705
27,25.298850574712645,58,49,0.8329885057471265,-2.2576293824240565,4.299136407133574,5.511461858986877e-05,0.6994045972824097
28,55.0,25,20,0.8,-0.8963775236625224,9.656724825678793,0.00013938176562078297,20.383390426635742
29,29.876543209876544,54,46,0.8387654320987654,-2.2079878649674356,2.823523412385839,0.00013507613039109856,0.9442500472068787
30,-34.27170868347338,119,101,0.8472829131652662,-2.235479861497879,20.075935589301704,0.0001312838139710948,1.2523589134216309
31,59.33333333333334,24,20,0.8333333333333334,-0.3000672458438203,20.68282002951082,0.00013078110350761563,4.32311487197876
32,40.95652173913044,46,40,0.8695652173913043,-0.8066631295951083,3.2578422830253544,0.0001269142667297274,0.10819118469953537
33,-22.98214285714286,112,100,0.8901785714285714,-1.0873246218625354,7.484137918182753,0.0001233502698596567,0.5435547232627869
34,-7.631578947368411,95,83,0.8736842105263158,-0.5954894580900145,1.2805596082847597,0.00011989489576080814,0.13338825106620789
35,-7.631578947368411,95,83,0.8736842105263158,-0.26191953605348317,0.77680205694455,0.00011723642819561064,1.8571616411209106
36,-141.9141193595342,229,200,0.870858806404658,0.18919805574648763,38.236273874902416,0.00011413792526582256,0.2647360563278198
37,-34.079096045197744,118,100,0.8392090395480226,0.27445678021899766,3.994122185538587,0.0001112142635975033,0.3990550935268402
38,-30.051724137931032,116,100,0.8594827586206897,0.4579324370606628,2.0592786742663067,0.00010842869960470125,0.35316067934036255
39,32.63265306122449,49,40,0.8163265306122449,0.7131176783877891,11.916049152474045,0.00010604513227008283,1.4538674354553223
40,26.06432748538012,57,48,0.8306432748538012,0.9207475222501671,9.896996194662307,0.00010427115921629593,2.209542751312256
41,59.33333333333334,24,20,0.8333333333333334,0.2484241321508307,66.16935628957994,0.00010183313133893535,0.31837528944015503
42,25.49717514124295,59,51,0.8449717514124294,0.2355437732367136,5.394305409307228,0.00010000697511713952,1.8060694932937622
43,-36.5,120,101,0.835,-0.3533341540614856,6.257953553903504,9.780856635188684e-05,0.47349298000335693
44,55.0,25,20,0.8,1.0611874799942598,37.12197637681554,9.621353819966316e-05,1.9868826866149902
45,59.33333333333334,24,20,0.8333333333333334,0.0010752146481536329,37.25441975439014,9.54958304646425e-05,3.187757730484009
46,43.888888888888886,45,40,0.8888888888888888,-0.5543917239410803,6.470121506754396,9.655114990891889e-05,5.0114264488220215
47,-30.367521367521363,117,102,0.8663247863247864,-1.7201022133522201,12.023186511552694,9.458445856580511e-05,0.4820170998573303
48,32.63265306122449,49,40,0.8163265306122449,-0.9505384216899984,0.975334312905261,9.287877037422732e-05,1.2699748277664185
49,-30.65242165242165,117,102,0.8634757834757835,-1.8401193114223133,13.823636753539171,9.108615631703287e-05,0.6921539306640625
50,-32.10169491525424,118,102,0.8589830508474576,-1.797754589606484,13.943457099286036,8.943512511905283e-05,0.8958736658096313
51,25.39080459770115,58,49,0.8339080459770115,-1.356778410030529,0.2970651204961108,8.783461089478806e-05,0.8598987460136414
52,59.33333333333334,24,20,0.8333333333333334,0.2691701294388622,27.51816094130993,0.00011374281166354194,15.567167282104492
53,55.0,25,20,0.8,-0.5883773507666774,23.61658606311846,0.0001116716957767494,0.3141891658306122
54,-7.631578947368411,95,83,0.8736842105263158,-0.8716165744563114,1.6552477844715334,0.0001096892956411466,0.2955242395401001
55,-149.46524822695034,235,202,0.8553475177304964,-0.7695735626853093,50.60077750361362,0.00010781871242215857,0.7721123695373535
56,35.33333333333334,48,40,0.8333333333333334,-0.3465743194974493,3.46703530450565,0.0001060499926097691,0.9478030204772949
57,27.26900584795321,57,49,0.8426900584795322,-0.5669751843161066,0.5141059326034565,0.00010441325866850093,1.2367812395095825
58,-144.9217391304348,230,196,0.8507826086956521,-0.07706282471906434,44.13621150234439,0.00010269654740113765,0.4059962332248688
59,59.33333333333334,24,20,0.8333333333333334,0.5962236259038036,40.168896188091956,0.00010361269232816994,5.044290065765381
60,16.0,64,52,0.8,-0.15800849538936745,0.05922852150568758,0.00010195806680712849,0.46522048115730286
61,35.33333333333334,48,40,0.8333333333333334,0.10513482072201441,4.9976634503763915,0.0001005990561679937,1.5874239206314087
62,22.88700564971751,59,49,0.8188700564971751,-0.2686026810770272,0.34137986079253313,9.905221668304875e-05,0.5535396933555603
63,63.95652173913044,23,20,0.8695652173913043,0.46074371621216414,42.585936722892306,9.818752005230635e-05,2.671281099319458
64,63.95652173913044,23,20,0.8695652173913043,1.1161843146110186,39.06290326205325,9.880424477159977e-05,4.819642543792725
