model,episode_start,utilization_mean,utilization_std_across_seeds,optimality_gap_mean,optimality_gap_std_across_seeds,actor_loss_mean,critic_loss_mean,gradient_variance_mean,gradient_variance_std_across_seeds,gradient_norm_mean,gradient_norm_std_across_seeds
MC,0,0.8601918346763794,0.006316991917975213,0.1591216496227395,0.008857086616250297,1.8908110294044012,1548.174553866148,0.09087532656174149,0.02395217366475148,52.3269101127237,10.583646508739292
MC,200,0.8721275909415812,0.018219460606290008,0.1437146916072723,0.02421375961229692,2.8660724627114833,165.0488755272776,0.010579627766972358,0.004048999192275739,28.394488489329813,3.960450483679243
MC,400,0.8952000165509524,0.015452060574704248,0.11489083589373354,0.019833135538473677,1.3626355056911705,91.39330865257979,0.015193563144653985,0.008704023694401701,27.039035068631172,9.116263669871797
MC,600,0.8942744822193388,0.017330249828099744,0.11591468503757489,0.02219065558907787,1.023851865423843,93.80914214731753,0.008368864609627004,0.006449533983365951,21.213271133132277,7.60109417578355
MC,800,0.9062198926382099,0.00972943991402331,0.10085233108294926,0.012174488710099528,0.23334802022203802,66.07123014041781,0.0038055058527970203,0.002263975900834678,14.567044819131493,4.975895772945687
MC,1000,0.9018994450032685,0.013069030650781594,0.10648693712613293,0.016275271295921562,-0.459381325699389,102.62147979041933,0.0046670774191151804,0.003046480852374709,19.73003860595822,7.170401993733824
MC,1200,0.9036616149617858,0.008133892305872838,0.10379290474876442,0.010016931351938808,-0.06409923850744971,82.01148265706003,0.005932051656345671,0.0050872059783299275,16.2431868327111,9.043478125117684
MC,1400,0.9008052750932389,0.016099373869926752,0.10765636303746462,0.02003841657016667,0.24242070139385757,71.683788681373,0.0035082059888081364,0.00396021626641039,13.543860397309066,7.630898855933278
MC,1600,0.9039198843866186,0.022035191021344342,0.10407452179805028,0.02768104274980752,1.148131030410528,76.28003241533786,0.003689317976531989,0.00451161481516963,13.847342526376247,8.97280297630906
MC,1800,0.909323834896537,0.008828797970073934,0.09658517731567877,0.010449677981546435,0.5456728559741749,54.37549189392105,0.0022832182244309903,0.001947727226909802,9.962435878649355,4.567917629218313
MC,2000,0.9136798610422657,0.0027111217373193804,0.0913549340255043,0.0036260469967517657,-0.19530649054516108,55.64507118064165,0.0011806321113398968,0.0005044516462282593,7.894695252113044,1.260791331423255
MC,2200,0.9131214950552478,0.001955069392179955,0.09213696667919266,0.0024982379206167035,-0.07847708209604029,61.08711339552701,0.0008616207241429429,0.00028025436093673484,7.947292080581188,1.915867965088781
