model,seed,window,utilization_mean,utilization_std,optimality_gap_mean,optimality_gap_std,actor_loss_mean,critic_loss_mean,gradient_variance_mean,gradient_variance_std,gradient_norm_mean,gradient_norm_std,episode_start,episode_end
MC,1,0,0.8650546516675661,0.028306142608773215,0.1531277117616944,0.04028013688360105,-7.612740971446037,1777.4398894190788,0.1089647474698722,0.10000210470456006,56.44169282197952,77.48727703605874,0,199
MC,1,1,0.8864737650139225,0.03261308035207178,0.1253676274084839,0.04507787665307708,1.5847263300418857,95.54708030641079,0.006436884532449717,0.0015300676722352865,21.575436344146727,23.147454684556678,200,399
MC,1,2,0.9006911132312478,0.03191920613553182,0.10794941143582344,0.04229142519765996,0.6952027984708548,93.76763446822763,0.011007034806534597,0.0030762528440855703,28.40919419258833,33.75904069687122,400,599
MC,1,3,0.8810368894346234,0.032855048333380904,0.13278077505799962,0.04266551384628165,3.508931038416922,129.55006174825132,0.01782765181735153,0.008334714609581196,29.160963038504125,42.170184418570585,600,799
MC,1,4,0.9080732895739803,0.029453487022416448,0.09839343236542847,0.03944335144278614,0.320914458539337,62.26035654917359,0.0038472737913252297,0.0011624310508956152,16.04562247209251,18.453043360844273,800,999
MC,1,5,0.9064503490946909,0.03062264366979772,0.10070481519110969,0.040423623223261415,-0.645337334573269,58.160794158875945,0.003880830183625176,0.001645926129122844,19.631786476522684,21.9750489894245,1000,1199
MC,1,6,0.8936492029228473,0.02371028334242853,0.11552796080409251,0.03228466804471241,0.7632499294355515,193.40605878889562,0.011401063001248934,0.0019132822681680762,29.134599231481552,33.05731396031006,1200,1399
MC,1,7,0.8735499123727637,0.02612435488352409,0.14150231368045715,0.033358481419855396,3.9217203521728514,171.910732408762,0.010190485201310315,0.0025583521220476093,24.977418068498373,30.579037403953965,1400,1599
MC,1,8,0.8647277199758886,0.026120150762352596,0.15331636534502982,0.03348503912426321,4.053547368794679,154.58340475518256,0.011273476362694004,0.0018904918962490873,27.708514000028373,33.03574100926467,1600,1799
MC,1,9,0.8958717038774595,0.024331814552280263,0.11292373832567973,0.032202006238135635,1.6921897345129397,78.52203047567978,0.005247349842684297,0.0019502785896851657,16.77934724509716,20.5756411950131,1800,1999
MC,1,10,0.9112668138448927,0.028362673891300625,0.09397005012162898,0.0384776354044328,0.19330462142359445,49.94093022041023,0.0018540811672573395,0.0015112146148237567,9.019165152572095,9.952370974582934,2000,2199
MC,1,11,0.9142654417295509,0.030649020219552185,0.09089855378226659,0.04114755245311855,-1.6448420709371567,43.34028245612979,0.000749077798391173,0.00019718077932546287,7.884119254350662,7.132825433934159,2200,2399
