model,AUC_mean,AUC_std,convergence_episodes_mean,convergence_episodes_std,final_plateau_mean,final_plateau_std,convergence_lower_bound_mean,convergence_upper_bound_mean
MC,0.9066812112709994,0.0034404649305050656,694.1111111111111,321.2301518499101,0.9140863638710938,0.00356173941245056,0.8958046365936718,0.9597906820646485
TD WITHOUT EF,0.9083309727269264,0.014876882940984692,435.94444444444446,477.9145225348077,0.9048155950004071,0.02900612902196748,0.8867192831003989,0.9500563747504275
TD_EF,0.9200475159148606,0.0007119938209129382,166.38888888888889,22.334723398355425,0.9206408963501561,0.004073264855127386,0.9022280784231529,0.966672941167664
