model,utilization_mean,utilization_seed_std,optimality_gap_mean,optimality_gap_seed_std,actor_loss_mean,actor_loss_seed_std,critic_loss_mean,critic_loss_seed_std,gradient_variance_mean,gradient_variance_seed_std,gradient_norm_mean,gradient_norm_seed_std
MC,0.9066762828444919,0.003438329917108214,0.1007218466831947,0.0042425424639301245,0.07091196028011011,0.5173840855191381,114.56161913350138,11.184678629104862,0.0073086218050024115,0.0020508090067177225,12.695285760157384,1.867007904113834
TD WITHOUT EF,0.908325019688408,0.01487769992227075,0.10179543677940128,0.020011594584947712,-0.030434368273572772,0.008124267214380653,0.7394637985354275,0.10609420874008035,4.978122075940162e-05,2.7712560815538785e-05,1.164763739618757,0.2940662103257965
TD_EF,0.9200410607867053,0.0007117326577068153,0.08687991149787615,0.0008959170166896349,-0.16641428449080037,0.06063766687054614,26.292053679895403,4.95821191318472,0.0003589876667578764,0.0002551605569202026,2.3176879842448157,0.34090072532006443
